FIPS Codes,Survey Diabetes,Percent Diabetes,Age-Adjusted Percent Diabetes,Survey Obesity,Percent Obesity,Age-Adjusted Percent Obesity,County_Name,State_Name,lat,lng,Zip_Code,Population,fast_food,pop_ff_ratio
1001,5144,13.0,11.9,13513,34.1,33.8,Autauga,Alabama,32.4321,-86.6582,36003,54695,72,759.6527777777778
1003,15367,10.4,8.8,40365,27.4,27.2,Baldwin,Alabama,30.3555,-87.5041,36530,194736,297,655.6767676767677
1005,3813,18.4,16.9,9186,44.4,44.7,Barbour,Alabama,31.7085,-85.6109,36017,26947,15,1796.4666666666667
1007,2557,14.8,13.8,6940,40.3,40.3,Bibb,Alabama,33.1468,-87.00299999999999,35115,22503,209,107.66985645933015
1009,5990,14.1,12.3,14768,34.6,34.9,Blount,Alabama,33.9064,-86.5178,35013 35121,57623,108,533.5462962962963
1011,1588,19.6,18.1,3482,43.0,42.8,Bullock,Alabama,32.1395,-85.7141,36089,10549,7,1507.0
1013,2676,17.7,15.4,5481,36.3,36.6,Butler,Alabama,31.5566,-86.8233,36456,20372,11,1852.0
1015,13000,14.9,13.4,28209,32.2,32.2,Calhoun,Alabama,33.7602,-85.8117,36277,116482,149,781.7583892617449
1017,4259,16.4,14.1,10338,39.7,40.0,Chambers,Alabama,33.009,-85.4721,36862,34122,26,1312.3846153846155
1019,2685,13.3,10.7,6771,33.6,33.9,Cherokee,Alabama,34.2215,-85.5887,35959,26014,39,667.025641025641
1021,4299,13.3,12.0,11580,35.9,36.0,Chilton,Alabama,32.9169,-86.7202,35171,43645,54,808.2407407407408
1023,1867,18.1,14.8,4207,40.8,41.1,Choctaw,Alabama,31.9304,-88.4589,36908,13396,16,837.25
1025,3057,16.3,14.0,7157,38.2,38.3,Clarke,Alabama,31.9111,-87.7418,36784,25118,8,3139.75
1027,1503,14.6,12.2,3841,37.3,37.7,Clay,Alabama,33.1213,-86.12899999999998,35072,13406,35,383.0285714285714
1029,1421,12.6,10.7,3379,30.0,30.2,Cleburne,Alabama,33.6471,-85.5698,36264,14976,77,194.4935064935065
1031,5998,15.9,14.4,12725,33.7,33.7,Coffee,Alabama,31.3784,-85.9228,36351,50647,55,920.8545454545455
1033,7736,18.7,16.1,15526,37.5,37.8,Colbert,Alabama,34.5951,-87.6719,35674 35654,54528,97,562.1443298969073
1035,1700,17.4,14.4,3558,36.4,36.7,Conecuh,Alabama,31.3127,-87.2355,36475,12908,32,403.375
1037,1516,17.3,14.6,3474,39.7,39.8,Coosa,Alabama,32.8746,-86.1159,35010 35089,11253,14,803.7857142857143
1039,4221,14.7,12.2,9794,34.0,34.5,Covington,Alabama,31.3524,-86.5412,36474 36476 36421,37811,20,1890.55
1041,1716,16.5,14.2,4136,39.7,40.1,Crenshaw,Alabama,31.5823,-86.2569,36009,13847,35,395.62857142857143
1043,8773,14.4,12.6,20319,33.4,33.7,Cullman,Alabama,34.2401,-86.9625,35057 35179,80674,68,1186.3823529411766
1045,5209,14.1,13.0,13467,36.5,36.6,Dale,Alabama,31.4508,-85.6473,36360 36361,49759,135,368.5851851851852
1047,5741,19.0,16.9,12329,40.8,40.8,Dallas,Alabama,32.6568,-86.9244,36758,41981,24,1749.2083333333333
1049,6911,13.4,12.0,15728,30.4,30.5,DeKalb,Alabama,34.4496,-85.905,35971,70905,73,971.3013698630137
1051,8029,13.4,12.5,21240,35.4,35.2,Elmore,Alabama,32.639,-86.0383,36024,80555,89,905.1123595505618
1053,5095,17.8,16.1,10798,37.7,37.8,Escambia,Alabama,31.2202,-87.4619,36543,37773,22,1716.9545454545455
1055,13196,16.8,14.9,27501,35.1,35.2,Etowah,Alabama,34.1562,-85.9511,35954,103865,104,998.7019230769231
1057,1941,15.1,12.6,4332,33.7,33.9,Fayette,Alabama,33.6516,-87.9286,35545 35574 35555,16823,8,2102.875
1059,3224,13.9,12.5,7669,33.2,33.3,Franklin,Alabama,34.3519,-87.7062,35581,31504,27,1166.8148148148148
1061,2815,13.9,11.7,6899,34.1,34.3,Geneva,Alabama,31.1428,-85.521,36375 36301 36305 36349,26684,120,222.36666666666667
1063,1362,21.0,17.8,2996,46.3,46.4,Greene,Alabama,32.8436,-87.8987,35462,8752,14,625.1428571428571
1065,1810,16.0,13.6,4574,40.4,40.3,Hale,Alabama,32.7014,-87.595,36744,15248,16,953.0
1067,2471,18.7,15.7,4714,35.8,36.1,Henry,Alabama,31.5664,-85.2528,36310,17130,11,1557.2727272727273
1069,10485,13.7,12.2,25127,32.8,32.7,Houston,Alabama,31.1439,-85.0932,36343,103625,44,2355.1136363636365
1071,6005,14.9,12.8,12867,32.0,32.1,Jackson,Alabama,34.6998,-85.7686,35765,52923,64,826.921875
1073,63518,13.0,12.0,162871,33.2,33.0,Jefferson,Alabama,33.6472,-86.9307,35073,658727,466,1413.5772532188842
1075,1612,14.9,12.3,3631,33.6,34.0,Lamar,Alabama,33.5586,-88.0817,35576,14210,20,710.5
1077,10000,14.2,12.4,23238,32.9,33.0,Lauderdale,Alabama,34.83,-87.6658,35633 35630 35631 35632,92688,88,1053.2727272727273
1079,3975,15.6,13.5,9042,35.5,35.4,Lawrence,Alabama,34.6408,-87.1837,35643,33575,107,313.78504672897196
1081,10562,9.5,10.3,32202,29.0,29.0,Lee,Alabama,32.5285,-85.096,36877,151445,236,641.7161016949152
1083,8334,12.6,11.6,21768,32.9,32.6,Limestone,Alabama,34.9847,-86.8374,35739,88902,232,383.19827586206895
1085,1869,23.5,20.8,3590,45.1,45.3,Lowndes,Alabama,32.2993,-86.7148,36785 36752 36040,10658,53,201.0943396226415
1087,2736,18.4,16.5,6657,44.7,44.8,Macon,Alabama,32.4265,-85.4452,36804,20021,100,200.21
1089,29818,11.5,10.6,83482,32.3,32.2,Madison,Alabama,34.9237,-86.5671,35750,346373,280,1237.0464285714286
1091,3027,20.2,17.4,6056,40.3,40.5,Marengo,Alabama,32.2683,-87.6237,36783,20105,12,1675.4166666666667
1093,4349,18.7,15.8,8272,35.5,36.1,Marion,Alabama,33.9978,-87.8497,35563 35548,30220,20,1511.0
1095,8867,12.8,11.4,22945,33.2,33.4,Marshall,Alabama,34.1985,-86.1529,35957 35956,94291,115,819.9217391304347
1097,47210,15.6,14.3,112714,37.1,37.2,Mobile,Alabama,31.089,-88.0137,36560,413929,26,15920.346153846154
1099,2914,17.8,15.2,5773,35.3,35.3,Monroe,Alabama,31.5837,-87.2631,36471,22176,15,1478.4
1101,22380,13.5,12.9,57641,34.8,34.6,Montgomery,Alabama,32.3957,-86.3955,36108,227927,239,953.6694560669456
1103,11263,12.6,11.2,28255,31.6,31.5,Morgan,Alabama,34.472,-86.5697,35754,119539,221,540.9004524886877
1105,1538,21.7,19.3,3053,43.0,43.4,Perry,Alabama,32.7582,-87.2867,36756,10019,6,1669.8333333333333
1107,2406,16.4,13.9,5349,36.4,36.4,Pickens,Alabama,33.4141,-88.2161,35461,19302,38,507.94736842105266
1109,3396,13.5,13.5,9668,38.4,38.6,Pike,Alabama,31.9096,-86.1625,36035,33563,29,1157.344827586207
1111,2524,14.9,12.4,5246,30.9,31.0,Randolph,Alabama,33.1563,-85.2861,36274,22546,51,442.078431372549
1113,5554,12.9,12.5,15684,36.4,36.2,Russell,Alabama,32.4609,-85.0877,36870 36869,59123,226,261.6061946902655
1115,8263,12.8,11.6,21299,33.0,33.0,St. Clair,Alabama,33.8331,-86.2698,35953 35987,86029,120,716.9083333333333
1117,12893,8.7,8.1,44775,30.1,29.8,Shelby,Alabama,33.4491,-86.4645,35147 35178,203897,270,755.174074074074
1119,2013,20.1,18.1,4041,40.3,40.3,Sumter,Alabama,32.8698,-88.31299999999997,35459,13376,12,1114.6666666666667
1121,9383,15.3,13.7,23848,39.0,39.1,Talladega,Alabama,33.3215,-86.1969,35014,81497,53,1537.6792452830189
1123,4325,13.7,11.4,11637,36.9,37.3,Tallapoosa,Alabama,33.0567,-85.9312,35072 35010,41021,18,2278.9444444444443
1125,18203,12.3,12.6,50708,34.3,34.2,Tuscaloosa,Alabama,33.1642,-87.3533,35453 35449,200752,143,1403.86013986014
1127,8334,16.7,14.4,16546,33.2,33.3,Walker,Alabama,33.7323,-87.2802,35580,65749,35,1878.5428571428572
1129,2231,17.8,15.4,5056,40.2,40.4,Washington,Alabama,31.1946,-88.0015,36553 36556,16888,10,1688.8
1131,1560,19.3,16.7,3635,44.9,45.4,Wilcox,Alabama,32.1861,-87.4699,36728,11150,7,1592.857142857143
